	Axis_1	Axis_2	Axis_3	Rt	mz
C1658	-0.743	0.213	0.692	402.72	337.2
C1662	-0.919	0.069	0.319	405.31	435.218
C1665	-0.782	-0.067	0.115	390.66	386.174
C1670	-0.738	0.41	0.261	398.1	237.146
C1671	-0.753	0.455	0.321	398.33	395.211
C1676	-0.888	-0.055	0.492	394.31	447.199
C1677	-0.903	0.067	0.442	395.11	209.12
C1680	-0.73	0.509	0.117	392.07	499.23
C1681	-0.745	0.588	0.067	391.39	375.215
C1683	-0.819	0.471	0.164	392.95	393.227
C1684	-0.881	0.085	0.024	393	335.186
C1689	-0.806	-0.006	0.139	423.46	343.227
C1691	-0.794	-0.103	0.152	422.44	357.206
C1692	-0.807	0.244	0.632	421.87	375.216
C1697	-0.834	0.123	0.149	428.84	353.199
C1703	-0.733	-0.018	0.285	415.64	447.236
C1705	0.162	-0.834	0.149	416.18	197.131
C1709	0.515	-0.782	-0.103	413.97	315.195
C1710	-0.939	0.224	0.345	415	397.234
C1711	-0.855	-0.018	0.091	410.78	369.206
C1712	-0.249	-0.888	0.03	409.1	269.154
C1729	0.825	-0.144	0.019	343.34	277.18
C1742	0.879	-0.067	-0.212	332.8	305.174
C1746	-0.821	0.149	0.019	333.71	541.213
C1757	-0.743	-0.006	0.097	337.55	560.236
C1762	-0.899	0.226	0.213	341.35	397.161
C1763	-0.891	0.055	0.297	339.27	360.187
C1765	-0.879	0.212	0.358	339.9	235.099
C1772	-0.899	0.472	0.33	327.72	251.128
C1773	-0.925	0.407	0.265	326.98	305.14
C1774	0.863	-0.109	-0.322	326.26	276.167
C1778	-0.753	0.455	0.321	322.27	232.102
C1796	0.828	-0.252	-0.006	314.79	303.159
C1814	-0.847	0.265	0.472	310.8	209.12
C1816	-0.755	-0.215	0.595	312.3	265.144
C1818	-0.855	0.358	0.406	312.82	223.145
C1820	-0.806	0.389	0.014	312.43	233.081
C1821	0.816	-0.129	-0.043	310.21	318.177
C1823	-0.785	0.041	-0.109	308.95	812.483
C1830	0.705	-0.614	-0.304	307.85	901.502
C1832	-0.813	0.216	-0.037	307.47	351.145
C1833	-0.701	0.199	0.121	306.65	381.155
C1834	0.208	0.701	-0.017	308.23	275.128
C1839	-0.721	-0.03	0.345	374.07	309.168
C1845	-0.855	0.297	0.358	369.18	414.242
C1846	-0.857	0.288	0.363	368.42	425.231
C1850	0.791	0.153	0.043	385.8	235.171
C1852	-0.891	0.212	0.382	385.6	355.154
C1853	-0.753	0.455	0.321	385.04	267.139
C1864	-0.701	0.199	0.121	376.08	291.072
C1865	-0.782	0.069	0.494	377.48	417.227
C1870	-0.939	-0.043	0.276	379.5	584.267
C1872	-0.782	0.333	0.455	364.18	596.272
C1873	-0.794	-0.042	0.079	365.3	322.171
C1877	-0.157	0.753	0.097	365.62	385.164
C1879	-0.879	0.067	0.042	366.8	449.215
C1895	-0.855	0.03	0.345	355.15	309.182
C1900	-0.832	0.144	0.219	357.05	297.148
C1904	-0.731	0.64	0.032	356.96	498.249
C1906	-0.875	0.231	0.195	358.25	309.169
C1907	0.818	-0.333	-0.43	358.56	347.15
C1908	-0.77	-0.297	-0.03	357.87	271.133
C1913	-0.924	0.255	0.413	360.43	379.212
C1921	0.127	-0.768	0.067	353.63	320.192
C1922	0.815	-0.316	-0.48	351.55	301.18
C1924	-0.768	0.142	-0.172	352.3	596.362
C1961	0.13	0.731	0.041	24.11	454.216
C1962	0.022	0.798	0.007	24.23	312.149
C1971	-0.886	0.485	0.317	449.63	425.196
C1972	-0.826	0.055	-0.027	443.36	438.207
C1978	-0.763	-0.281	-0.163	438.72	311.201
C1980	-0.891	-0.091	0.418	437.44	349.202
C1984	-0.382	-0.709	0.212	464.43	444.27
C1988	-0.758	-0.212	-0.127	470.39	303.232
C1990	-0.902	0.018	0.092	468.51	433.259
C1998	-0.709	0.006	0.285	453.44	293.171
C2000	-0.867	0.358	0.067	452.26	373.199
C2008	-0.855	-0.188	0.139	482.49	385.241
C2010	0.472	-0.795	0.071	472.43	335.279
C2012	0.152	-0.733	0.152	476.01	449.149
C2014	-0.818	0.115	0.103	475.35	443.254
C2018	0.737	0.171	-0.266	500.43	933.621
C2019	-0.782	0.127	-0.2	497.2	435.203
C2033	-0.873	0.252	0.187	524.52	818.552
C2035	-0.813	0.216	-0.037	520.69	415.207
C2050	-0.753	0.455	0.321	298.16	523.203
C2060	-0.707	-0.075	0.081	298.98	442.197
C2089	0.006	0.731	0.317	300.93	161.133
C2092	0.782	0.006	0.006	299.08	364.181
C2105	-0.766	0.085	0.584	305.08	187.112
C2107	-0.891	0.212	0.527	304.79	313.107
C2127	-0.766	0.48	0.237	303.56	265.108
C2148	0.527	-0.733	0.139	302.77	361.163
C2165	-0.709	0.418	0.418	296.55	137.023
C2175	-0.753	0.157	-0.186	297.33	381.155
C2177	-0.847	0.407	0.433	294.16	197.119
C2181	-0.731	0.061	-0.225	295.47	229.086
C2182	-0.826	0.109	0.014	294.81	257.081
C2199	0.758	0.091	-0.091	294.07	349.164
C2202	-0.701	0.199	0.121	293.15	448.198
C2208	0.769	0.226	-0.679	292.76	269.153
C2215	0.758	-0.164	-0.37	289.56	768.42
C2241	-0.798	0.231	-0.052	290.28	227.072
C2254	-0.842	0.139	0.2	290.51	297.134
C2255	-0.882	0.331	0.444	290.24	191.035
C2265	-0.818	0.382	0.479	292.43	239.142
C2267	-0.79	-0.383	0.237	292.21	339.145
C2273	-0.701	0.199	0.121	292.3	437.18
C2278	0.847	-0.239	-0.278	291.07	333.167
C2298	-0.2	0.821	0.006	267.71	255.123
C2301	-0.815	0.188	0.626	268.24	269.081
C2309	-0.899	0.226	0.213	270.89	355.142
C2314	0.745	-0.345	-0.079	268.44	233.118
C2338	0.785	-0.007	-0.109	275.92	231.066
C2339	-0.201	0.798	0.231	275.04	133.101
C2350	-0.833	0.567	0.259	273.82	267.133
C2368	0.826	0.075	-0.178	275.42	429.191
C2385	0.891	-0.297	-0.345	271.36	321.17
C2400	-0.389	0.827	0.116	270.67	176.114
C2417	0.782	-0.188	-0.6	279.99	406.158
C2430	-0.733	0.042	0.236	277.9	488.266
C2466	0.485	-0.756	-0.032	277.27	366.16
C2467	0.951	-0.141	-0.19	276.78	334.171
C2478	-0.813	0.216	-0.037	282.44	368.139
C2481	0.022	0.798	0.007	283.01	257.045
C2494	-0.718	0.509	0.288	282	255.065
C2510	0.839	-0.024	0.055	282.87	267.16
C2529	0.758	-0.048	-0.055	284.18	231.066
C2556	0.733	-0.224	-0.103	286.5	349.164
C2566	-0.818	0.297	0.358	286.25	328.125
C2572	-0.744	0.388	0.431	286.29	418.196
C2582	0.89	-0.264	-0.325	220.94	259.062
C2586	0.839	0.036	-0.195	219.22	408.169
C2603	0.7	0.281	-0.25	223.13	379.099
C2608	0.782	0.236	0.03	215.2	153.091
C2609	0.798	0.306	-0.35	214.67	229.051
C2610	0.867	0.079	-0.455	216.11	279.124
C2615	0.857	0.169	-0.338	217.16	304.124
C2622	0.818	-0.176	-0.224	215.23	438.236
C2625	0.806	0.127	-0.564	209.75	340.259
C2637	0.306	-0.753	0.172	199.9	170.117
C2640	0.903	-0.236	-0.261	204.97	291.124
C2641	0.888	-0.061	-0.018	204.05	135.08
C2644	0.813	0.336	-0.41	195.31	351.107
C2645	0.867	-0.055	-0.685	194.42	431.179
C2651	0.636	-0.745	-0.212	242.8	481.17
C2653	0.83	-0.248	-0.345	242.8	257.082
C2656	-0.246	0.768	0.216	244.56	227.071
C2672	0.724	-0.102	-0.259	242.58	352.145
C2675	0.038	0.857	-0.081	243.28	214.095
C2683	0.76	-0.243	-0.219	244.35	335.115
C2687	0.769	0	-0.225	240.52	453.343
C2708	0.718	0.387	-0.055	240.19	291.124
C2716	0.742	-0.141	-0.669	235.81	357.133
C2721	0.73	-0.35	-0.018	232.7	273.111
C2724	0.208	0.701	-0.017	233.62	303.122
C2730	0.894	0.085	-0.316	233.12	345.134
C2734	0.888	-0.031	-0.394	238.23	320.12
C2738	0.745	-0.212	-0.006	237.09	335.115
C2743	0.131	0.875	0.063	237.46	279.088
C2745	0.721	-0.455	0.006	236.1	319.154
C2753	0.855	-0.103	-0.503	226.67	361.164
C2754	0.788	0	0.125	228.78	441.172
C2756	0.721	-0.455	-0.358	227.8	292.12
C2759	0.842	-0.176	-0.236	232.45	416.247
C2764	-0.246	0.768	0.216	231	147.044
C2785	-0.821	0.122	0.255	265.26	355.142
C2786	-0.841	0.337	0.129	264.46	383.134
C2792	-0.212	-0.709	0.37	265.95	383.17
C2826	-0.794	0.321	0.345	261.47	255.066
C2841	-0.753	0.455	0.321	262.88	352.146
C2843	0.721	-0.224	0.055	263.29	354.158
C2865	-0.756	0.291	0.601	262.98	269.081
C2872	-0.77	0.285	0.406	262.01	280.125
C2874	0.769	0.317	-0.511	259.78	276.092
C2880	0.314	0.792	-0.116	258.45	281.115
C2883	0.795	0.162	-0.42	258.13	371.148
C2893	0.426	0.717	-0.207	253.76	275.128
C2899	0.725	-0.144	-0.513	253.38	329.101
C2901	0.717	-0.097	-0.231	253.72	261.149
C2911	-0.782	0.557	0.25	256	223.109
C2967	0.847	-0.226	-0.433	247.13	332.12
C2976	-0.387	0.804	0.19	249	268.125
C2979	-0.109	0.869	-0.195	248.96	295.118
C2999	0.191	0.71	-0.096	249.13	323.148
C3000	0.711	0.085	-0.571	249.43	285.076
C3012	-0.77	0.103	0.261	401.25	327.16
C3013	-0.742	-0.092	0.595	400.63	365.196
C3020	-0.867	0.273	0.333	403.49	367.188
C3023	-0.874	0.485	0.205	406.96	353.201
C3039	-0.819	0.006	0.219	398.34	373.233
C3041	-0.721	-0.006	0.685	395.16	443.241
C3042	-0.701	0.199	0.121	396.42	397.236
C3043	-0.733	-0.261	0.152	396.16	349.165
C3047	0.097	-0.834	-0.019	394.84	333.206
C3055	-0.867	0.2	0.321	394.68	337.2
C3057	-0.43	0.794	0.261	394.52	459.252
C3060	-0.8	0.338	0.331	392.71	489.248
C3065	-0.865	0.362	0.362	422.01	559.286
C3070	-0.806	-0.079	0.273	429.66	357.207
C3078	-0.903	-0.079	0.042	424.42	231.137
C3081	-0.882	-0.006	0.294	419.24	371.221
C3093	-0.894	0.019	0.256	413.68	267.175
C3097	0.527	-0.794	0.006	410.01	333.168
C3098	-0.157	0.753	0.097	410.02	298.183
C3105	-0.903	-0.018	0.261	346.64	265.108
C3131	-0.758	0.079	0.479	343.13	477.246
C3140	0.705	-0.012	-0.03	344	359.185
C3141	0.813	-0.181	-0.081	343.77	286.151
C3159	-0.847	0.362	0	330.12	325.155
C3163	-0.733	0.042	0.2	329.03	433.224
C3165	-0.701	0.199	0.121	329.02	369.205
C3173	0.756	0.084	-0.265	329.42	415.208
C3208	0.753	0.186	-0.261	334.23	415.21
C3217	-0.703	0.123	0.553	335.12	325.179
C3218	-0.758	0.018	0.479	335.73	309.159
C3220	-0.723	0.529	0.395	336	353.198
C3222	-0.701	0.199	0.121	337.23	362.166
C3223	-0.869	0.331	0.544	336.36	325.155
C3243	-0.753	0.455	0.321	339.72	319.192
C3246	-0.795	-0.175	0.33	341.03	307.19
C3247	-0.701	0.199	0.121	340.97	451.195
C3249	-0.821	0.149	0.485	339.91	253.142
C3257	-0.006	0.744	-0.144	325.38	371.188
C3260	-0.721	-0.248	0.636	325.24	394.19
C3262	-0.701	0.199	0.121	325.41	207.103
C3269	-0.753	0.455	0.321	324.77	409.185
C3275	-0.768	0.201	-0.127	326.32	245.117
C3292	-0.894	0.231	0.085	321.33	183.104
C3293	-0.707	0.25	0.081	320.53	345.133
C3294	-0.707	-0.231	0.306	321.26	379.175
C3298	-0.798	0.231	-0.052	318.97	283.166
C3306	-0.201	0.798	0.231	323.51	240.111
C3316	-0.832	0.331	0.319	324.03	365.159
C3323	-0.798	0.172	-0.097	322.71	439.2
C3329	-0.795	-0.084	-0.162	323.48	257.082
C3332	0.939	-0.067	-0.301	315.58	306.176
C3343	-0.834	-0.071	0.187	314.91	365.158
C3346	-0.701	0.199	0.121	315.58	324.162
C3361	0.176	-0.806	-0.103	313.53	346.171
C3364	-0.705	-0.162	-0.252	317.78	364.181
C3380	0.166	-0.865	0.264	312.17	387.18
C3393	-0.239	-0.706	-0.153	312.35	391.174
C3406	-0.701	0.199	0.121	312.64	397.187
C3435	-0.756	-0.149	0.045	308.47	281.151
C3457	-0.733	0.261	0.491	372.78	212.116
C3458	-0.304	0.718	0.032	371.86	343.188
C3460	0.394	0.721	-0.091	372.86	465.253
C3461	-0.164	-0.806	-0.03	373.4	305.175
C3463	-0.768	0.142	-0.172	367.76	383.187
C3470	0.912	0.061	-0.286	368.54	243.174
C3474	-0.745	-0.115	0.212	385.25	904.55
C3484	0.285	-0.721	0.055	383.34	305.175
C3495	-0.873	0.239	0.239	377.6	816.492
C3501	-0.701	0.199	0.121	376.75	390.202
C3508	0.018	0.877	-0.288	379.29	418.223
C3516	-0.798	0.231	-0.052	381.17	383.208
C3517	-0.899	0.343	0.11	381.13	529.241
C3523	-0.742	-0.334	0.407	379.76	247.134
C3533	-0.826	0.055	-0.027	364.71	563.22
C3544	-0.768	0.142	-0.172	366.18	417.226
C3556	-0.769	0.162	-0.11	361.79	215.071
C3573	0.745	0.285	-0.127	354.25	332.193
C3575	-0.798	0.231	-0.052	354.73	427.208
C3581	0.833	0.027	-0.437	360.05	277.18
C3586	0.754	-0.426	-0.164	356.81	273.185
C3613	0.839	-0.073	-0.328	352.76	415.176
C3614	-0.902	0.067	0.362	352.2	322.171
C3629	0.733	-0.552	0.127	350.84	221.154
C3638	-0.886	0.2	0.045	351.61	329.139
C3639	-0.701	0.199	0.121	349.75	225.09
C3646	-0.798	0.172	-0.097	347.81	284.136
C3655	0.522	-0.73	0.067	620.63	628.5
C3673	0.146	-0.809	0.176	721.7	801.552
C3674	0.306	-0.753	0.172	691.54	553.391
