Sample Name	Inj. No.	Analysis(Inj.)	Area	Mean Area	Excluded	Inj. Vol.	
12377	3	TN	174.8	175.2	0	50	
12378	1	NPOC	5.247	5.457	1	50	
12378	2	NPOC	5.471	5.457	0	50	
12378	3	NPOC	5.414	5.457	0	50	
12378	4	NPOC	5.487	5.457	0	50	
12378	1	TN	70.76	71.40	0	50	
12378	2	TN	71.55	71.40	0	50	
12378	3	TN	71.90	71.40	0	50	
Blank Vial	1	NPOC	0.3183	0.3178	0	50	
Blank Vial	2	NPOC	0.3138	0.3178	0	50	
Blank Vial	3	NPOC	0.3213	0.3178	0	50	
Blank Vial	1	TN	0.7644	0.5239	1	50	
Blank Vial	2	TN	0.5636	0.5239	0	50	
Blank Vial	3	TN	0.5307	0.5239	0	50	
Blank Vial	4	TN	0.4773	0.5239	0	50	
5ppm C,N	1	NPOC	16.69	16.87	0	50	
5ppm C,N	2	NPOC	16.74	16.87	0	50	
5ppm C,N	3	NPOC	17.18	16.87	0	50	
5ppm C,N	1	TN	60.71	60.25	0	50	
5ppm C,N	2	TN	59.02	60.25	0	50	
5ppm C,N	3	TN	61.03	60.25	0	50	
10ppm C,N	1	NPOC	32.38	32.64	0	50	
10ppm C,N	2	NPOC	32.91	32.64	0	50	
10ppm C,N	3	NPOC	32.64	32.64	0	50	
10ppm C,N	1	TN	118.6	119.7	0	50	
10ppm C,N	2	TN	120.8	119.7	0	50	
10ppm C,N	3	TN	119.7	119.7	0	50	
25ppm C,N	1	NPOC	83.83	84.90	0	50	
25ppm C,N	2	NPOC	84.48	84.90	0	50	
25ppm C,N	3	NPOC	86.38	84.90	0	50	
25ppm C,N	1	TN	298.7	302.0	0	50	
25ppm C,N	2	TN	300.0	302.0	0	50	
25ppm C,N	3	TN	307.4	302.0	0	50	
100ppm C,N	1	NPOC	337.1	333.9	0	50	
100ppm C,N	2	NPOC	337.3	333.9	0	50	
100ppm C,N	3	NPOC	327.3	333.9	0	50	
100ppm C,N	1	TN	1193	1170	0	50	
100ppm C,N	2	TN	1177	1170	0	50	
100ppm C,N	3	TN	1139	1170	0	50	
100ppm C,N	4	TN	0.1146	1170	1	50	
100ppm C,N	5	TN	0.3801	1170	1	50	
GLQO12352	1	NPOC	33.33	33.40	0	50	
GLQO12352	2	NPOC	33.34	33.40	0	50	
GLQO12352	3	NPOC	33.53	33.40	0	50	
GLQO12352	1	TN	9.627	9.881	0	50	
GLQO12352	2	TN	10.72	9.881	1	50	
GLQO12352	3	TN	10.45	9.881	0	50	
GLQO12352	4	TN	9.565	9.881	0	50	
GLQO12352	5	TN	7.875	9.881	1	50	
GLQO12353	1	NPOC	7.748	7.531	0	50	
GLQO12353	2	NPOC	7.529	7.531	0	50	
GLQO12353	3	NPOC	7.315	7.531	0	50	
GLQO12353	4	NPOC	7.016	7.531	1	50	
GLQO12353	5	NPOC	6.868	7.531	1	50	
GLQO12353	1	TN	63.26	63.41	0	50	
GLQO12353	2	TN	63.86	63.41	0	50	
GLQO12353	3	TN	63.12	63.41	0	50	
GLQO12354	1	NPOC	23.02	23.06	0	50	
GLQO12354	2	NPOC	23.41	23.06	0	50	
GLQO12354	3	NPOC	22.74	23.06	0	50	
GLQO12354	1	TN	11.01	10.62	0	50	
GLQO12354	2	TN	12.09	10.62	1	50	
GLQO12354	3	TN	11.57	10.62	1	50	
GLQO12354	4	TN	10.23	10.62	0	50	
GLQO12354	5	TN	10.62	10.62	0	50	
GLQO12355	1	NPOC	39.22	39.52	0	50	
GLQO12355	2	NPOC	39.63	39.52	0	50	
GLQO12355	3	NPOC	39.72	39.52	0	50	
GLQO12355	1	TN	13.13	13.38	0	50	
GLQO12355	2	TN	13.69	13.38	0	50	
GLQO12355	3	TN	14.03	13.38	1	50	
GLQO12355	4	TN	11.83	13.38	1	50	
GLQO12355	5	TN	13.33	13.38	0	50	
GLQO12365	1	NPOC	15.11	15.24	0	50	
GLQO12365	2	NPOC	15.38	15.24	0	50	
GLQO12365	3	NPOC	15.24	15.24	0	50	
GLQO12365	1	TN	8.800	8.571	0	50	
GLQO12365	2	TN	9.523	8.571	1	50	
GLQO12365	3	TN	8.729	8.571	0	50	
GLQO12365	4	TN	8.185	8.571	0	50	
GLQO12365	5	TN	8.018	8.571	1	50	
GLQO12366	1	NPOC	24.62	24.34	0	50	
GLQO12366	2	NPOC	24.42	24.34	0	50	
GLQO12366	3	NPOC	23.99	24.34	0	50	
GLQO12366	1	TN	11.70	10.35	1	50	
GLQO12366	2	TN	10.80	10.35	1	50	
GLQO12366	3	TN	10.52	10.35	0	50	
GLQO12366	4	TN	10.17	10.35	0	50	
GLQO12366	5	TN	10.36	10.35	0	50	
GLQO12367	1	NPOC	18.29	18.55	0	50	
GLQO12367	2	NPOC	18.67	18.55	0	50	
GLQO12367	3	NPOC	18.69	18.55	0	50	
GLQO12367	1	TN	12.45	12.30	0	50	
GLQO12367	2	TN	12.43	12.30	0	50	
GLQO12367	3	TN	11.71	12.30	1	50	
GLQO12367	4	TN	12.02	12.30	0	50	
